last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome
2020-01-28 09:30:00,N,AAPL,312.37,1.0,312.48,1.0,0.0,0.0,2020-01-28 09:30:00.204632,312.37,312.43,0
2020-01-28 09:30:14,N,AAPL,312.37,1.0,312.43,1.0,0.0,0.0,2020-01-28 09:30:14.413778,312.44,312.51,1
2020-01-28 09:30:15,N,AAPL,312.44,1.0,312.51,2.0,0.0,1.0,2020-01-28 09:30:15.948758,312.4,312.5,0
2020-01-28 09:30:21,N,AAPL,312.4,3.0,312.5,2.0,2.0,1.0,2020-01-28 09:30:21.112650,312.48,312.51,0
2020-01-28 09:30:24,N,AAPL,312.48,4.0,312.51,2.0,1.0,0.0,2020-01-28 09:30:24.402868,312.43,312.51,0
2020-01-28 09:30:26,N,AAPL,312.43,4.0,312.51,3.0,-3.0,1.0,2020-01-28 09:30:26.242308,312.52,312.53,1
2020-01-28 09:30:28,N,AAPL,312.52,4.0,312.53,2.0,3.0,-3.0,2020-01-28 09:30:28.238089,312.48,312.53,0
2020-01-28 09:30:29,N,AAPL,312.48,1.0,312.53,1.0,0.0,0.0,2020-01-28 09:30:29.760193,312.48,312.53,0
2020-01-28 09:30:30,N,AAPL,312.48,3.0,312.53,3.0,2.0,1.0,2020-01-28 09:30:30.055065,312.57,312.6,1
2020-01-28 09:30:31,N,AAPL,312.57,4.0,312.6,2.0,3.0,1.0,2020-01-28 09:30:31.150126,312.59,312.67,0
2020-01-28 09:30:32,N,AAPL,312.59,1.0,312.67,2.0,0.0,0.0,2020-01-28 09:30:32.454150,312.62,312.67,0
2020-01-28 09:30:33,N,AAPL,312.62,1.0,312.67,1.0,-1.0,-1.0,2020-01-28 09:30:33.089804,312.59,312.62,0
2020-01-28 09:30:34,N,AAPL,312.59,2.0,312.62,4.0,0.0,3.0,2020-01-28 09:30:34.501819,312.6,312.66,0
2020-01-28 09:30:35,N,AAPL,312.6,1.0,312.66,4.0,0.0,2.0,2020-01-28 09:30:35.082313,312.64,312.71,0
2020-01-28 09:30:36,N,AAPL,312.64,2.0,312.71,3.0,0.0,1.0,2020-01-28 09:30:36.155990,312.64,312.68,0
2020-01-28 09:30:37,N,AAPL,312.64,2.0,312.68,6.0,1.0,4.0,2020-01-28 09:30:37.280846,312.65,312.71,0
2020-01-28 09:30:38,N,AAPL,312.65,2.0,312.71,2.0,1.0,0.0,2020-01-28 09:30:38.379558,312.65,312.71,0
2020-01-28 09:30:39,N,AAPL,312.65,2.0,312.71,3.0,-2.0,0.0,2020-01-28 09:30:39.075756,312.7,312.72,0
2020-01-28 09:30:40,N,AAPL,312.7,4.0,312.72,1.0,3.0,-3.0,2020-01-28 09:30:40.647303,312.74,312.8,1
2020-01-28 09:30:41,N,AAPL,312.74,4.0,312.8,2.0,2.0,-3.0,2020-01-28 09:30:41.120244,312.77,312.81,0
2020-01-28 09:30:42,N,AAPL,312.77,2.0,312.81,2.0,1.0,1.0,2020-01-28 09:30:42.182884,312.81,312.89,0
2020-01-28 09:30:43,N,AAPL,312.81,2.0,312.89,17.0,-2.0,13.0,2020-01-28 09:30:43.600883,312.82,312.88,0
2020-01-28 09:30:45,N,AAPL,312.82,4.0,312.88,1.0,2.0,-16.0,2020-01-28 09:30:45.696625,312.82,312.87,0
2020-01-28 09:30:46,N,AAPL,312.82,4.0,312.87,10.0,0.0,6.0,2020-01-28 09:30:46.407248,312.82,312.87,0
2020-01-28 09:30:47,N,AAPL,312.82,4.0,312.87,11.0,3.0,1.0,2020-01-28 09:30:47.183260,312.9,312.91,1
2020-01-28 09:30:48,N,AAPL,312.9,4.0,312.91,2.0,3.0,-5.0,2020-01-28 09:30:48.718904,312.85,312.9,0
2020-01-28 09:30:49,N,AAPL,312.85,1.0,312.9,1.0,-3.0,-1.0,2020-01-28 09:30:49.033550,312.89,312.93,0
2020-01-28 09:30:50,N,AAPL,312.89,1.0,312.93,3.0,-1.0,1.0,2020-01-28 09:30:50.744204,312.88,312.92,0
2020-01-28 09:30:51,N,AAPL,312.88,1.0,312.92,4.0,0.0,1.0,2020-01-28 09:30:51.409982,312.85,312.9,0
2020-01-28 09:30:52,N,AAPL,312.85,1.0,312.9,4.0,0.0,0.0,2020-01-28 09:30:52.328100,312.75,312.8,-1
2020-01-28 09:30:53,N,AAPL,312.75,2.0,312.8,1.0,0.0,-1.0,2020-01-28 09:30:53.072292,312.79,312.86,0
2020-01-28 09:30:54,N,AAPL,312.79,2.0,312.86,2.0,0.0,0.0,2020-01-28 09:30:54.065456,312.74,312.82,0
2020-01-28 09:30:55,N,AAPL,312.74,2.0,312.82,2.0,1.0,-2.0,2020-01-28 09:30:55.165292,312.81,312.86,0
2020-01-28 09:30:56,N,AAPL,312.81,4.0,312.86,1.0,3.0,-1.0,2020-01-28 09:30:56.612511,312.8,312.85,0
2020-01-28 09:30:57,N,AAPL,312.8,2.0,312.85,2.0,-2.0,1.0,2020-01-28 09:30:57.045920,312.79,312.86,0
2020-01-28 09:30:58,N,AAPL,312.79,2.0,312.86,2.0,1.0,1.0,2020-01-28 09:30:58.545228,312.79,312.87,0
2020-01-28 09:30:59,N,AAPL,312.79,1.0,312.87,6.0,0.0,0.0,2020-01-28 09:30:59.092420,312.84,312.89,0
2020-01-28 09:31:00,N,AAPL,312.84,4.0,312.89,2.0,2.0,-1.0,2020-01-28 09:31:00.036603,312.86,312.92,0
2020-01-28 09:31:01,N,AAPL,312.86,1.0,312.92,6.0,-3.0,4.0,2020-01-28 09:31:01.048539,312.84,312.88,0
2020-01-28 09:31:02,N,AAPL,312.84,2.0,312.88,4.0,1.0,2.0,2020-01-28 09:31:02.006675,312.82,312.86,0
2020-01-28 09:31:03,N,AAPL,312.82,2.0,312.86,1.0,0.0,-1.0,2020-01-28 09:31:03.125262,312.67,312.71,-1
2020-01-28 09:31:04,N,AAPL,312.67,2.0,312.71,2.0,-1.0,1.0,2020-01-28 09:31:04.033455,312.45,312.49,-1
2020-01-28 09:31:05,N,AAPL,312.45,1.0,312.49,1.0,-1.0,0.0,2020-01-28 09:31:05.137977,312.36,312.4,-1
2020-01-28 09:31:06,N,AAPL,312.36,1.0,312.4,2.0,0.0,0.0,2020-01-28 09:31:06.010151,312.43,312.48,1
2020-01-28 09:31:07,N,AAPL,312.43,2.0,312.48,2.0,1.0,1.0,2020-01-28 09:31:07.364018,312.46,312.51,0
2020-01-28 09:31:08,N,AAPL,312.46,4.0,312.51,2.0,2.0,1.0,2020-01-28 09:31:08.211150,312.41,312.47,0
2020-01-28 09:31:09,N,AAPL,312.41,2.0,312.47,1.0,0.0,-3.0,2020-01-28 09:31:09.197631,312.37,312.43,0
2020-01-28 09:31:10,N,AAPL,312.37,4.0,312.43,1.0,2.0,-3.0,2020-01-28 09:31:10.279120,312.35,312.39,0
2020-01-28 09:31:11,N,AAPL,312.35,2.0,312.39,2.0,-2.0,1.0,2020-01-28 09:31:11.011839,312.27,312.3,-1
2020-01-28 09:31:12,N,AAPL,312.27,1.0,312.3,5.0,-8.0,3.0,2020-01-28 09:31:12.029396,312.26,312.3,0
2020-01-28 09:31:13,N,AAPL,312.26,3.0,312.3,1.0,2.0,0.0,2020-01-28 09:31:13.041453,312.31,312.37,1
2020-01-28 09:31:14,N,AAPL,312.31,4.0,312.37,1.0,0.0,0.0,2020-01-28 09:31:14.043508,312.31,312.4,0
2020-01-28 09:31:15,N,AAPL,312.31,5.0,312.4,1.0,1.0,-3.0,2020-01-28 09:31:15.910810,312.31,312.4,0
2020-01-28 09:31:16,N,AAPL,312.31,5.0,312.4,3.0,0.0,2.0,2020-01-28 09:31:16.541289,312.31,312.39,0
2020-01-28 09:31:17,N,AAPL,312.31,2.0,312.39,1.0,-3.0,0.0,2020-01-28 09:31:17.360376,312.32,312.39,0
2020-01-28 09:31:18,N,AAPL,312.32,1.0,312.39,1.0,-1.0,0.0,2020-01-28 09:31:18.947316,312.38,312.41,0
2020-01-28 09:31:19,N,AAPL,312.38,2.0,312.41,5.0,1.0,4.0,2020-01-28 09:31:19.208364,312.5,312.56,1
2020-01-28 09:31:22,N,AAPL,312.5,2.0,312.56,2.0,0.0,0.0,2020-01-28 09:31:22.054208,312.49,312.56,0
2020-01-28 09:31:23,N,AAPL,312.49,1.0,312.56,2.0,-3.0,0.0,2020-01-28 09:31:23.152174,312.48,312.56,0
2020-01-28 09:31:24,N,AAPL,312.48,2.0,312.56,4.0,0.0,1.0,2020-01-28 09:31:24.044940,312.49,312.56,0
2020-01-28 09:31:25,N,AAPL,312.49,4.0,312.56,4.0,3.0,0.0,2020-01-28 09:31:25.110298,312.48,312.56,0
2020-01-28 09:31:26,N,AAPL,312.48,3.0,312.56,3.0,2.0,1.0,2020-01-28 09:31:26.117812,312.42,312.45,-1
2020-01-28 09:31:27,N,AAPL,312.42,1.0,312.45,1.0,-1.0,-1.0,2020-01-28 09:31:27.019483,312.4,312.44,0
2020-01-28 09:31:28,N,AAPL,312.4,4.0,312.44,2.0,1.0,0.0,2020-01-28 09:31:28.054307,312.4,312.49,0
2020-01-28 09:31:29,N,AAPL,312.4,2.0,312.49,4.0,0.0,3.0,2020-01-28 09:31:29.010646,312.4,312.44,0
2020-01-28 09:31:30,N,AAPL,312.4,2.0,312.44,2.0,0.0,-3.0,2020-01-28 09:31:30.016544,312.4,312.44,0
2020-01-28 09:31:31,N,AAPL,312.4,2.0,312.44,1.0,1.0,0.0,2020-01-28 09:31:31.047864,312.46,312.53,1
2020-01-28 09:31:32,N,AAPL,312.46,1.0,312.53,1.0,-1.0,-2.0,2020-01-28 09:31:32.269934,312.43,312.53,0
2020-01-28 09:31:33,N,AAPL,312.43,2.0,312.53,1.0,1.0,-2.0,2020-01-28 09:31:33.726319,312.49,312.54,0
2020-01-28 09:31:34,N,AAPL,312.49,1.0,312.54,2.0,-1.0,1.0,2020-01-28 09:31:34.131038,312.61,312.65,1
2020-01-28 09:31:35,N,AAPL,312.61,2.0,312.65,1.0,-2.0,-3.0,2020-01-28 09:31:35.251159,312.52,312.6,-1
2020-01-28 09:31:36,N,AAPL,312.52,4.0,312.6,4.0,3.0,1.0,2020-01-28 09:31:36.006789,312.61,312.68,1
2020-01-28 09:31:37,N,AAPL,312.61,1.0,312.68,2.0,0.0,0.0,2020-01-28 09:31:37.056041,312.61,312.67,0
2020-01-28 09:31:38,N,AAPL,312.61,1.0,312.67,2.0,-2.0,0.0,2020-01-28 09:31:38.006510,312.62,312.67,0
2020-01-28 09:31:39,N,AAPL,312.62,1.0,312.67,4.0,0.0,0.0,2020-01-28 09:31:39.067726,312.62,312.69,0
2020-01-28 09:31:40,N,AAPL,312.62,2.0,312.69,2.0,-1.0,0.0,2020-01-28 09:31:40.037826,312.61,312.66,0
