,last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome,Spread,AWS,Anomaly,Spread Change,Quote IMB,VPIN
0,2020-01-24 09:30:02,N,AAPL,320.3,1.0,320.34,1.0,0.0,0.0,2020-01-24 09:30:02.231010,320.26,320.31,0,0.03999999999996362,0.03999999999996362,0,0,0.0,9e-05
1,2020-01-24 09:30:03,N,AAPL,320.26,1.0,320.31,1.0,0.0,-9.0,2020-01-24 09:30:03.572790,320.26,320.29,0,0.05000000000001137,0.045000000000015916,0,1,0.0,9e-05
2,2020-01-24 09:30:04,N,AAPL,320.26,2.0,320.29,1.0,1.0,0.0,2020-01-24 09:30:04.408067,320.02,320.08,-1,0.03000000000002956,0.043333333333350765,0,-1,0.3333333333333333,9e-05
3,2020-01-24 09:30:06,N,AAPL,320.02,2.0,320.08,6.0,1.0,5.0,2020-01-24 09:30:06.268612,320.02,320.06,0,0.060000000000002274,-0.02888888888890051,1,1,-0.5,9e-05
4,2020-01-24 09:30:07,N,AAPL,320.02,1.0,320.06,2.0,-1.0,-4.0,2020-01-24 09:30:07.072558,319.97,320.01,-1,0.040000000000020464,-0.02285714285716267,1,-1,-0.3333333333333333,9e-05
5,2020-01-24 09:30:22,N,AAPL,319.97,2.0,320.01,1.0,1.0,-2.0,2020-01-24 09:30:22.503008,319.97,320.02,0,0.03999999999996362,0.00916666666665833,0,-1,0.3333333333333333,9e-05
6,2020-01-24 09:30:23,N,AAPL,319.97,1.0,320.02,10.0,-2.0,0.0,2020-01-24 09:30:23.038751,319.88,319.97,0,0.049999999999954525,-0.025454545454579147,1,1,-0.8181818181818182,9e-05
7,2020-01-24 09:30:24,N,AAPL,319.88,3.0,319.97,5.0,1.0,4.0,2020-01-24 09:30:24.142355,319.95,320.0,0,0.09000000000003183,0.006182336182291692,0,1,-0.25,9e-05
8,2020-01-24 09:30:25,N,AAPL,319.95,4.0,320.0,1.0,0.0,-1.0,2020-01-24 09:30:25.029320,319.86,319.93,-1,0.05000000000001137,0.02831932773108292,0,-1,0.6,9e-05
9,2020-01-24 09:30:26,N,AAPL,319.86,2.0,319.93,2.0,0.0,0.0,2020-01-24 09:30:26.107619,319.98,320.03,1,0.06999999999999318,0.03761403508769945,1,1,0.0,9e-05
10,2020-01-24 09:30:27,N,AAPL,319.98,3.0,320.03,2.0,2.0,-2.0,2020-01-24 09:30:27.981274,320.06,320.09,1,0.049999999999954525,0.04068181818178118,1,-1,0.2,9e-05
11,2020-01-24 09:30:28,N,AAPL,320.06,2.0,320.09,2.0,0.0,0.0,2020-01-24 09:30:28.360703,320.03,320.1,0,0.029999999999972715,0.038749999999936335,1,-1,0.0,9e-05
12,2020-01-24 09:30:29,N,AAPL,320.03,1.0,320.1,2.0,0.0,-2.0,2020-01-24 09:30:29.235230,320.09,320.12,0,0.07000000000005002,0.04077777777774827,1,1,-0.3333333333333333,9e-05
13,2020-01-24 09:30:30,N,AAPL,320.09,2.0,320.12,1.0,1.0,0.0,2020-01-24 09:30:30.030969,320.03,320.1,0,0.03000000000002956,0.03681681681683813,1,-1,0.3333333333333333,9e-05
14,2020-01-24 09:30:32,N,AAPL,320.03,2.0,320.1,1.0,-1.0,-10.0,2020-01-24 09:30:32.508267,320.01,320.05,0,0.07000000000005002,0.03716878402906332,1,1,0.3333333333333333,9e-05
15,2020-01-24 09:30:33,N,AAPL,320.01,2.0,320.05,1.0,1.0,-1.0,2020-01-24 09:30:33.378420,319.94,319.98,-1,0.040000000000020464,0.03757650951195046,1,-1,0.3333333333333333,9e-05
16,2020-01-24 09:30:34,N,AAPL,319.94,2.0,319.98,2.0,1.0,1.0,2020-01-24 09:30:34.254066,319.9,319.94,0,0.040000000000020464,0.038617886178826666,1,1,0.0,9e-05
17,2020-01-24 09:30:36,N,AAPL,319.9,1.0,319.94,4.0,-1.0,2.0,2020-01-24 09:30:36.169867,319.89,319.95,0,0.040000000000020464,0.03200000000003911,0,1,-0.6,9e-05
