last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome
2020-01-02 09:30:00,K,AAPL,296.21,1.0,296.29,1.0,-1.0,0.0,2020-01-02 09:30:00.134336,295.71,295.78,-1
2020-01-02 09:31:00,Q,AAPL,295.71,1.0,295.78,2.0,0.0,0.0,2020-01-02 09:31:00.000691,295.49,295.52,-1
2020-01-02 09:32:00,Z,AAPL,295.49,3.0,295.52,2.0,0.0,1.0,2020-01-02 09:32:00.019756,295.68,295.73,1
2020-01-02 09:33:00,Z,AAPL,295.68,1.0,295.73,2.0,-1.0,0.0,2020-01-02 09:33:00.000277,296.53,296.6,1
2020-01-02 09:34:00,J,AAPL,296.53,3.0,296.6,4.0,0.0,1.0,2020-01-02 09:34:00.114073,296.9,296.93,1
2020-01-02 09:35:00,Q,AAPL,296.9,3.0,296.93,2.0,-3.0,0.0,2020-01-02 09:35:00.119713,297.26,297.29,1
2020-01-02 09:36:00,Q,AAPL,297.26,5.0,297.29,1.0,0.0,-2.0,2020-01-02 09:36:00.027733,297.8,297.85,1
2020-01-02 09:37:00,Q,AAPL,297.8,2.0,297.85,3.0,0.0,-1.0,2020-01-02 09:37:00.038734,297.64,297.68,-1
2020-01-02 09:38:00,Z,AAPL,297.64,2.0,297.68,1.0,0.0,-1.0,2020-01-02 09:38:00.013265,297.61,297.65,0
2020-01-02 09:39:00,Q,AAPL,297.61,2.0,297.65,1.0,0.0,0.0,2020-01-02 09:39:00.095931,297.27,297.31,-1
2020-01-02 09:40:00,Z,AAPL,297.27,1.0,297.31,2.0,-1.0,0.0,2020-01-02 09:40:00.011158,297.63,297.67,1
2020-01-02 09:41:00,K,AAPL,297.63,6.0,297.67,2.0,4.0,0.0,2020-01-02 09:41:00.264500,297.25,297.27,-1
2020-01-02 09:42:00,Z,AAPL,297.25,1.0,297.27,2.0,0.0,1.0,2020-01-02 09:42:00.015214,296.88,296.91,-1
2020-01-02 09:43:00,Z,AAPL,296.88,2.0,296.91,2.0,0.0,-1.0,2020-01-02 09:43:00.007480,297.37,297.39,1
2020-01-02 09:44:00,N,AAPL,297.37,3.0,297.39,3.0,0.0,1.0,2020-01-02 09:44:00.178695,297.11,297.13,-1
2020-01-02 09:45:00,N,AAPL,297.11,1.0,297.13,3.0,0.0,0.0,2020-01-02 09:45:00.001258,297.31,297.32,1
2020-01-02 09:46:00,Q,AAPL,297.31,3.0,297.32,1.0,0.0,-1.0,2020-01-02 09:46:00.010350,297.25,297.27,-1
2020-01-02 09:47:00,Z,AAPL,297.25,3.0,297.27,1.0,2.0,0.0,2020-01-02 09:47:00.022087,297.22,297.24,-1
2020-01-02 09:48:00,Z,AAPL,297.22,2.0,297.24,27.0,0.0,-1.0,2020-01-02 09:48:00.009963,297.16,297.18,-1
2020-01-02 09:49:00,P,AAPL,297.16,2.0,297.18,3.0,0.0,0.0,2020-01-02 09:49:00.000341,296.8,296.83,-1
2020-01-02 09:50:00,Z,AAPL,296.8,11.0,296.83,1.0,0.0,-1.0,2020-01-02 09:50:00.028749,296.92,296.96,1
2020-01-02 09:51:00,Q,AAPL,296.92,3.0,296.96,3.0,0.0,2.0,2020-01-02 09:51:00.001431,297.08,297.11,1
2020-01-02 09:52:00,Q,AAPL,297.08,3.0,297.11,1.0,1.0,0.0,2020-01-02 09:52:00.002310,297.09,297.1,0
2020-01-02 09:53:00,N,AAPL,297.09,2.0,297.1,2.0,1.0,0.0,2020-01-02 09:53:00.269797,296.96,296.98,-1
2020-01-02 09:54:00,Y,AAPL,296.96,1.0,296.98,3.0,-3.0,-1.0,2020-01-02 09:54:00.010546,297.29,297.3,1
2020-01-02 09:55:00,Q,AAPL,297.29,1.0,297.3,1.0,0.0,0.0,2020-01-02 09:55:00.027957,297.44,297.46,1
2020-01-02 09:56:00,P,AAPL,297.44,2.0,297.46,3.0,1.0,0.0,2020-01-02 09:56:00.000579,297.74,297.77,1
2020-01-02 09:57:00,P,AAPL,297.74,2.0,297.77,2.0,0.0,0.0,2020-01-02 09:57:00.087874,297.9,297.93,1
2020-01-02 09:58:00,Z,AAPL,297.9,2.0,297.93,2.0,1.0,0.0,2020-01-02 09:58:00.000504,297.69,297.71,-1
2020-01-02 09:59:00,Q,AAPL,297.69,2.0,297.71,2.0,0.0,1.0,2020-01-02 09:59:00.031117,297.96,297.99,1
2020-01-02 10:00:00,Z,AAPL,297.96,10.0,297.99,1.0,-2.0,0.0,2020-01-02 10:00:00.107434,297.93,297.96,0
2020-01-02 10:01:00,Z,AAPL,297.93,3.0,297.96,1.0,0.0,-2.0,2020-01-02 10:01:00.281596,297.92,297.93,0
2020-01-02 10:02:00,Q,AAPL,297.92,1.0,297.93,1.0,-4.0,-1.0,2020-01-02 10:02:00.019954,297.64,297.69,-1
2020-01-02 10:03:00,Z,AAPL,297.64,3.0,297.69,2.0,0.0,0.0,2020-01-02 10:03:00.001058,297.78,297.8,1
2020-01-02 10:04:00,Z,AAPL,297.78,1.0,297.8,3.0,-3.0,0.0,2020-01-02 10:04:00.811014,297.8,297.83,0
2020-01-02 10:05:00,Q,AAPL,297.8,3.0,297.83,2.0,0.0,1.0,2020-01-02 10:05:00.044764,298.13,298.17,1
2020-01-02 10:06:00,Z,AAPL,298.13,1.0,298.17,3.0,0.0,0.0,2020-01-02 10:06:00.011891,298.34,298.37,1
