last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome,date
2020-01-03 09:30:00,Q,AAPL,297.13,10.0,297.15,20.0,9.0,19.0,2020-01-03 09:30:00.000185,296.5,296.84,-1,2020-01-03
2020-01-03 09:30:05,Q,AAPL,296.5,61.0,296.84,1.0,-19.0,-2.0,2020-01-03 09:30:06.701374,296.6,296.82,0,2020-01-03
2020-01-03 09:30:10,Y,AAPL,296.6,5.0,296.82,11.0,0.0,1.0,2020-01-03 09:30:10.526907,296.9,297.0,1,2020-01-03
2020-01-03 09:30:15,Q,AAPL,296.9,2.0,297.0,42.0,0.0,-1.0,2020-01-03 09:30:15.068392,297.13,297.27,1,2020-01-03
2020-01-03 09:30:20,Q,AAPL,297.13,5.0,297.27,1.0,0.0,0.0,2020-01-03 09:30:20.101289,297.49,297.57,1,2020-01-03
2020-01-03 09:30:25,X,AAPL,297.49,1.0,297.57,1.0,0.0,0.0,2020-01-03 09:30:25.127065,297.6,297.66,1,2020-01-03
2020-01-03 09:30:30,Q,AAPL,297.6,8.0,297.66,3.0,7.0,1.0,2020-01-03 09:30:30.500694,297.6,297.63,0,2020-01-03
2020-01-03 09:30:35,P,AAPL,297.6,36.0,297.63,1.0,35.0,0.0,2020-01-03 09:30:35.337329,297.6,297.66,0,2020-01-03
2020-01-03 09:30:40,Q,AAPL,297.6,1.0,297.66,1.0,-1.0,-33.0,2020-01-03 09:30:40.018279,297.9,297.95,1,2020-01-03
2020-01-03 09:30:45,B,AAPL,297.9,3.0,297.95,1.0,2.0,0.0,2020-01-03 09:30:45.336945,297.85,297.94,0,2020-01-03
2020-01-03 09:30:50,Z,AAPL,297.85,1.0,297.94,4.0,0.0,0.0,2020-01-03 09:30:50.018740,297.82,297.94,0,2020-01-03
2020-01-03 09:30:55,Q,AAPL,297.82,4.0,297.94,4.0,1.0,0.0,2020-01-03 09:30:55.504154,298.03,298.1,1,2020-01-03
2020-01-03 09:31:00,P,AAPL,298.03,3.0,298.1,2.0,2.0,0.0,2020-01-03 09:31:00.048612,298.25,298.27,1,2020-01-03
2020-01-03 09:31:05,Q,AAPL,298.25,1.0,298.27,3.0,-4.0,0.0,2020-01-03 09:31:05.025539,298.22,298.32,0,2020-01-03
2020-01-03 09:31:10,P,AAPL,298.22,1.0,298.32,1.0,0.0,0.0,2020-01-03 09:31:10.025691,298.16,298.17,-1,2020-01-03
2020-01-03 09:31:15,P,AAPL,298.16,2.0,298.17,4.0,1.0,2.0,2020-01-03 09:31:15.062797,298.2,298.24,1,2020-01-03
2020-01-03 09:31:20,N,AAPL,298.2,1.0,298.24,1.0,-3.0,-2.0,2020-01-03 09:31:20.008072,298.14,298.27,0,2020-01-03
2020-01-03 09:31:25,Z,AAPL,298.14,2.0,298.27,1.0,0.0,-1.0,2020-01-03 09:31:25.029030,298.48,298.5,1,2020-01-03
2020-01-03 09:31:30,Q,AAPL,298.48,1.0,298.5,2.0,-1.0,0.0,2020-01-03 09:31:30.046970,298.38,298.41,-1,2020-01-03
2020-01-03 09:31:35,K,AAPL,298.38,1.0,298.41,1.0,-1.0,0.0,2020-01-03 09:31:35.006012,298.43,298.45,1,2020-01-03
2020-01-03 09:31:40,P,AAPL,298.43,2.0,298.45,6.0,1.0,0.0,2020-01-03 09:31:40.015347,298.35,298.37,-1,2020-01-03
2020-01-03 09:31:45,K,AAPL,298.35,2.0,298.37,2.0,1.0,-2.0,2020-01-03 09:31:45.179471,298.22,298.27,-1,2020-01-03
2020-01-03 09:31:50,Z,AAPL,298.22,2.0,298.27,2.0,0.0,1.0,2020-01-03 09:31:50.005861,298.3,298.36,1,2020-01-03
2020-01-03 09:31:55,Q,AAPL,298.3,2.0,298.36,2.0,0.0,1.0,2020-01-03 09:31:55.138975,298.61,298.65,1,2020-01-03
2020-01-03 09:32:00,Z,AAPL,298.61,1.0,298.65,2.0,0.0,0.0,2020-01-03 09:32:00.008138,298.63,298.68,0,2020-01-03
